5Y Dividend per Share Growth (per Share),5Y Revenue Growth (per Share),Acquisitions and disposals,Capex to Revenue,Deposit Liabilities,Dividends per Share Growth,Earnings Yield,Effect of forex changes on cash,Financing Cash Flow,Free Cash Flow Yield,Graham Net-Net,Inventory Growth,Investment purchases and sales,Issuance (repayment) of debt,Net Cash/Marketcap,Net Income - Non-Controlling int,Other comprehensive income,SG&A Expenses Growth,Sector_Basic Materials,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Utilities,assetTurnover,capitalExpenditureCoverageRatios,currentRatio,debtEquityRatio,dividendpaidAndCapexCoverageRatios,grossProfitMargin,netProfitMargin,operatingProfitMargin,priceEarningsRatio,quickRatio,returnOnAssets,returnOnEquity
0.0,-0.032,-20.011954687795455,0.052,0.0,0.0,0.0666,-17.182806422433504,-22.87130017020857,0.042,-0.1711,-0.0195,-21.94143736096793,21.05902353334455,-0.0738,18.258161826219297,-23.40647674810332,-0.0156,False,False,False,True,False,False,False,False,False,False,False,0.54032191086823,3.7686170212766,0.877,0.5664,1.2008474576271,0.49832457192044,0.2355744105259899,1.0,15.0259,0.6531281032770601,0.9474,0.2748
0.0,0.0399,-13.473796259674314,0.0338,0.0,0.0,0.0401,-13.726739903626088,20.803655987735553,0.0369,0.0534,0.2128,17.70190567917536,19.331887842424774,0.0956,-15.972958155684596,-15.114106539216635,0.192,False,False,False,True,False,False,False,False,False,False,False,1.9196129460635,0.3981876343437801,0.2034,0.4031,0.3981876343437801,0.22347174749483,0.026739722274341,1.0,24.9252,0.98432843823131,0.0384,0.1364
0.0,0.0986,-19.80947198776461,0.0321,0.0,0.0,0.0619,0.0,-19.67914173640328,0.0182,-0.6172,0.0637,0.0,21.34437981514387,-0.4364,-16.705882371415992,-20.387793102056882,0.0678,False,False,False,True,False,False,False,False,False,False,False,3.1594850020545,1.1549067315491002,0.804,2.1017,1.0348837209302,0.22399576892064,0.01712373306051,1.0,16.1538,0.1532659409020199,0.1068,0.2949
0.0,-0.0561,0.0,0.0111,0.0,0.0,0.0008,0.0,19.682208053163833,-0.004,-1.0746,-0.1596,16.63997996142118,19.56302918006944,-0.5533,0.0,-17.56069947816397,0.0427,False,False,False,True,False,False,False,False,False,False,False,1.9775772329786,0.91331069569426,1.685,5.359,0.91331069569426,0.22090058506059,0.0001767743072305,1.0,1307.5,0.6710048555061,0.0011,0.0066
0.0,0.0105,16.85046359274847,0.0435,0.0,0.0,0.0498,-16.733281344102608,-21.28139480640055,0.0532,-0.3729,0.0494,16.380459992348886,20.75718405611652,-0.2674,17.590567731255042,-21.531748616631795,-0.0738,False,False,False,True,False,False,False,False,False,False,False,0.7160906998707199,3.5507203763599,0.762,2.1908,1.330468793037,0.35645782916555,0.10611531517689,1.0,20.0603,0.41198319201621,0.6854,0.3829999999999999
0.0,0.0165,-18.525040768285617,0.0198,0.0,0.0,0.0372,20.804845824860493,-21.741752081496376,0.0454,-0.1949,-0.0234,-21.146570863837784,22.15166137432463,-0.1597,19.53909566318463,-22.86744119330998,0.0522,False,False,False,True,False,False,False,False,False,False,False,1.8175851796686,5.7571059431525,1.3530000000000002,-2.8412,1.1046108081309,0.2345258521345,0.077274706138441,1.0,26.9046,0.7633755168525199,0.4677,-0.4993
0.0,-0.0491,16.300417291085605,0.0444,0.0,0.0,0.0064,19.300307495604308,-22.725961314515903,0.0276,-0.1668,-0.0075,-20.215768004934226,20.808525681815507,-0.1392,17.370858648025116,-23.055895051385875,-0.1767,False,False,False,True,False,False,False,False,False,False,False,0.40286247383271,4.4112030553787,1.344,2.7932,0.8782156887593501,0.6256707144874301,0.035244281276476,1.0,155.4266,0.8951239243950899,0.0711,0.0731
0.0,0.0396,-21.311607903695478,0.0209,0.0,0.0,0.0659,-19.929192740008894,-23.671487127881782,0.1049,-0.2955,-0.032,-21.36564590097874,-22.001696552468832,-0.1905,20.29248292239242,-23.37875878738021,0.0496,False,False,False,True,False,False,False,False,False,False,False,2.4437218659625,3.1165010331595,0.862,0.5905,1.9337566395995,0.25648060295592,0.028079354069891,1.0,15.1682,0.18978603872819,0.13,0.1754
0.0,-0.0254,20.219084757554718,0.0349,0.0,0.0,0.0441,18.30414693893237,-21.93550438598691,0.0266,-0.4633,0.0356,0.0,-19.093625222296833,-0.2665,16.454567959008102,-23.025550885031485,-0.0929,False,False,False,True,False,False,False,False,False,False,False,0.41132836698064,2.8651933701657004,0.476,0.6791,1.2330004755112,0.38747296879827,0.10920605498919,1.0,22.6791,0.27144937630596,7.0,0.1088
0.0,0.0197,-19.843789080604612,0.0078,0.0,0.0,0.0751,0.0,-22.7736646933022,0.0348,-0.1736,0.0848,18.705859693704824,0.0,-0.0936,15.424948670398354,-21.363539528426436,-0.1217,False,False,False,True,False,False,False,False,False,False,False,0.5920096291838299,24.628140703518,0.64,0.9036,0.97902516979624,0.46774319674695,0.39967156709415,1.0,13.322,0.20538869257951,-19.1423,0.6648
