ticker,company_name,cik,Sector,year
APTV,Aptiv PLC,0001521332,Consumer Cyclical,2014
APTV,Aptiv PLC,0001521332,Consumer Cyclical,2015
APTV,Aptiv PLC,0001521332,Consumer Cyclical,2016
APTV,Aptiv PLC,0001521332,Consumer Cyclical,2017
APTV,Aptiv PLC,0001521332,Consumer Cyclical,2018
ARTNA,ARTESIAN RESOURCES CORP,0000863110,Utilities,2014
ARTNA,ARTESIAN RESOURCES CORP,0000863110,Utilities,2015
ARTNA,ARTESIAN RESOURCES CORP,0000863110,Utilities,2016
ARTNA,ARTESIAN RESOURCES CORP,0000863110,Utilities,2017
ARTNA,ARTESIAN RESOURCES CORP,0000863110,Utilities,2018
ASPS,ALTISOURCE PORTFOLIO SOLUTIONS S.A.,0001462418,Industrials,2014
ASPS,ALTISOURCE PORTFOLIO SOLUTIONS S.A.,0001462418,Industrials,2015
ASPS,ALTISOURCE PORTFOLIO SOLUTIONS S.A.,0001462418,Industrials,2016
ASPS,ALTISOURCE PORTFOLIO SOLUTIONS S.A.,0001462418,Industrials,2017
ASPS,ALTISOURCE PORTFOLIO SOLUTIONS S.A.,0001462418,Industrials,2018
AXTA,Axalta Coating Systems Ltd.,0001616862,Basic Materials,2014
AXTA,Axalta Coating Systems Ltd.,0001616862,Basic Materials,2015
AXTA,Axalta Coating Systems Ltd.,0001616862,Basic Materials,2016
AXTA,Axalta Coating Systems Ltd.,0001616862,Basic Materials,2017
AXTA,Axalta Coating Systems Ltd.,0001616862,Basic Materials,2018
BRN,BARNWELL INDUSTRIES INC,0000010048,Energy,2014
BRN,BARNWELL INDUSTRIES INC,0000010048,Energy,2015
BRN,BARNWELL INDUSTRIES INC,0000010048,Energy,2016
BRN,BARNWELL INDUSTRIES INC,0000010048,Energy,2017
BRN,BARNWELL INDUSTRIES INC,0000010048,Energy,2018
CLDX,"Celldex Therapeutics, Inc.",0000744218,Healthcare,2014
CLDX,"Celldex Therapeutics, Inc.",0000744218,Healthcare,2015
CLDX,"Celldex Therapeutics, Inc.",0000744218,Healthcare,2016
CLDX,"Celldex Therapeutics, Inc.",0000744218,Healthcare,2017
CLDX,"Celldex Therapeutics, Inc.",0000744218,Healthcare,2018
FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,0000798941,Financial Services,2014
FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,0000798941,Financial Services,2015
FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,0000798941,Financial Services,2016
FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,0000798941,Financial Services,2017
FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,0000798941,Financial Services,2018
GEOS,GEOSPACE TECHNOLOGIES CORP,0001001115,Energy,2014
GEOS,GEOSPACE TECHNOLOGIES CORP,0001001115,Energy,2015
