ticker,cik_str,title
A,0001090872,"AGILENT TECHNOLOGIES, INC."
AA,0001675149,Alcoa Corp
AAL,0000006201,American Airlines Group Inc.
AAME,0000008177,ATLANTIC AMERICAN CORP
AAOI,0001158114,"APPLIED OPTOELECTRONICS, INC."
AAON,0000824142,"AAON, INC."
AAPL,0000320193,Apple Inc.
AAT,0001500217,"American Assets Trust, Inc."
AB,0000825313,ALLIANCEBERNSTEIN HOLDING L.P.
ABBV,0001551152,AbbVie Inc.
ABCB,0000351569,Ameris Bancorp
ABEO,0000318306,ABEONA THERAPEUTICS INC.
ABEV,0001565025,AMBEV S.A.
ABG,0001144980,ASBURY AUTOMOTIVE GROUP INC
ABM,0000771497,ABM INDUSTRIES INC /DE/
ABR,0001253986,ARBOR REALTY TRUST INC
ABT,0000001800,ABBOTT LABORATORIES
ABUS,0001447028,Arbutus Biopharma Corp
ACAD,0001070494,ACADIA PHARMACEUTICALS INC
ACCO,0000712034,ACCO BRANDS Corp
ACGL,0000947484,ARCH CAPITAL GROUP LTD.
ACH,0000075252,ACCENDRA HEALTH INC/VA/
ACHC,0001520697,"Acadia Healthcare Company, Inc."
ACHV,0000949858,"ACHIEVE LIFE SCIENCES, INC."
ACIW,0000935036,"ACI WORLDWIDE, INC."
ACLS,0001113232,AXCELIS TECHNOLOGIES INC
ACM,0000868857,AECOM
ACN,0001467373,Accenture plc
ACNB,0000715579,ACNB CORP
ACRE,0001529377,Ares Commercial Real Estate Corp
ACRS,0001557746,"Aclaris Therapeutics, Inc."
ACTG,0000934549,ACACIA RESEARCH CORP
ACU,0000002098,ACME UNITED CORP
ADBE,0000796343,ADOBE INC.
ADC,0000917251,AGREE REALTY CORP
ADI,0000006281,ANALOG DEVICES INC
ADM,0000007084,Archer-Daniels-Midland Co
ADMA,0001368514,"ADMA BIOLOGICS, INC."
ADP,0000008670,AUTOMATIC DATA PROCESSING INC
ADSK,0000769397,"Autodesk, Inc."
ADTN,0000926282,"ADTRAN Holdings, Inc."
ADUS,0001468328,Addus HomeCare Corp
AEE,0001002910,AMEREN CORP
AEG,0000769218,AEGON LTD.
AEHR,0001040470,AEHR TEST SYSTEMS
AEIS,0000927003,ADVANCED ENERGY INDUSTRIES INC
AEM,0000002809,AGNICO EAGLE MINES LTD
AEMD,0000882291,AETHLON MEDICAL INC
AEO,0000919012,AMERICAN EAGLE OUTFITTERS INC
AEP,0000004904,AMERICAN ELECTRIC POWER CO INC
AER,0001378789,AerCap Holdings N.V.
AES,0000874761,AES CORP
AFG,0001042046,AMERICAN FINANCIAL GROUP INC
AFL,0000004977,AFLAC INC
AG,0001308648,FIRST MAJESTIC SILVER CORP
AGCO,0000880266,AGCO CORP /DE
AGEN,0001098972,AGENUS INC
AGI,0001178819,ALAMOS GOLD INC
AGIO,0001439222,"AGIOS PHARMACEUTICALS, INC."
AGM,0000845877,FEDERAL AGRICULTURAL MORTGAGE CORP
AGNC,0001423689,AGNC Investment Corp.
AGO,0001273813,ASSURED GUARANTY LTD
AGRO,0001499505,Adecoagro S.A.
AGX,0000100591,ARGAN INC
AGYS,0000078749,AGILYSYS INC
AHT,0001232582,ASHFORD HOSPITALITY TRUST INC
AI,0001577526,"C3.ai, Inc."
AIG,0000005272,"AMERICAN INTERNATIONAL GROUP, INC."
AIN,0000819793,ALBANY INTERNATIONAL CORP /DE/
AIR,0000001750,AAR CORP
AIRI,0001009891,AIR INDUSTRIES GROUP
AIRT,0000353184,AIR T INC
AIT,0000109563,APPLIED INDUSTRIAL TECHNOLOGIES INC
AIV,0000922864,APARTMENT INVESTMENT & MANAGEMENT CO
AIZ,0001267238,"ASSURANT, INC."
AJG,0000354190,Arthur J. Gallagher & Co.
AKAM,0001086222,AKAMAI TECHNOLOGIES INC
AKBA,0001517022,"Akebia Therapeutics, Inc."
AKR,0000899629,ACADIA REALTY TRUST
AKTX,0001541157,Akari Therapeutics Plc
ALB,0000915913,ALBEMARLE CORP
ALCO,0000003545,"ALICO, INC."
ALDX,0001341235,"Aldeyra Therapeutics, Inc."
ALG,0000897077,ALAMO GROUP INC
ALGN,0001097149,ALIGN TECHNOLOGY INC
ALGT,0001362468,Allegiant Travel CO
ALK,0000766421,"ALASKA AIR GROUP, INC."
ALKS,0001520262,Alkermes plc.
ALL,0000899051,ALLSTATE CORP
ALLE,0001579241,Allegion plc
ALLT,0001365767,Allot Ltd.
ALLY,0000040729,Ally Financial Inc.
ALNY,0001178670,"ALNYLAM PHARMACEUTICALS, INC."
ALOT,0000008146,"AstroNova, Inc."
ALRM,0001459200,"Alarm.com Holdings, Inc."
ALSN,0001411207,Allison Transmission Holdings Inc
ALT,0001326190,"Altimmune, Inc."
ALV,0001034670,AUTOLIV INC
ALX,0000003499,ALEXANDERS INC
AMAT,0000006951,APPLIED MATERIALS INC /DE
AMBA,0001280263,AMBARELLA INC
AMC,0001411579,"AMC ENTERTAINMENT HOLDINGS, INC."
AMCX,0001514991,AMC Global Media Inc.
AMD,0000002488,ADVANCED MICRO DEVICES INC
AME,0001037868,AMETEK INC/
