ticker,cik_str,title,Sector
APTV,0001521332,Aptiv PLC,Consumer Cyclical
ARTNA,0000863110,ARTESIAN RESOURCES CORP,Utilities
ASPS,0001462418,ALTISOURCE PORTFOLIO SOLUTIONS S.A.,Industrials
AXTA,0001616862,Axalta Coating Systems Ltd.,Basic Materials
BRN,0000010048,BARNWELL INDUSTRIES INC,Energy
CLDX,0000744218,"Celldex Therapeutics, Inc.",Healthcare
FCNCA,0000798941,FIRST CITIZENS BANCSHARES INC /DE/,Financial Services
GEOS,0001001115,GEOSPACE TECHNOLOGIES CORP,Energy
GTY,0001052752,GETTY REALTY CORP /MD/,Real Estate
INTT,0001036262,INTEST CORP,Technology
JBSS,0000880117,SANFILIPPO JOHN B & SON INC,Consumer Defensive
MAYS,0000054187,MAYS J W INC,Real Estate
NOVT,0001076930,NOVANTA INC,Technology
OPHC,0001288855,"OptimumBank Holdings, Inc.",Financial Services
PCRX,0001396814,"Pacira BioSciences, Inc.",Healthcare
POST,0001530950,"Post Holdings, Inc.",Consumer Defensive
SR,0001126956,SPIRE INC,Utilities
T,0000732717,AT&T INC.,Communication Services
TMUS,0001283699,"T-Mobile US, Inc.",Communication Services
UAN,0001425292,"CVR PARTNERS, LP",Basic Materials
ULBI,0000875657,ULTRALIFE CORP,Industrials
VAC,0001524358,MARRIOTT VACATIONS WORLDWIDE Corp,Consumer Cyclical
